mse,average
0.054295,0.361933
0.055544,
0.062309,
0.056331,
0.057613,
0.063116,
0.064998,
0.075279,
0.076666,
0.076526,
0.088518,
0.093152,
0.099728,
0.100097,
0.089160,
0.082458,
0.085036,
0.076715,
0.095553,
0.099328,
0.095255,
0.100876,
0.097800,
0.090172,
0.083779,
0.098854,
0.091721,
0.116849,
0.128921,
0.122695,
0.136762,
0.155588,
0.156811,
0.148896,
0.126232,
0.128602,
0.131382,
0.134529,
0.137644,
0.141328,
0.145380,
0.149652,
0.153807,
0.158022,
0.162326,
0.166520,
0.170704,
0.175167,
0.179440,
0.183671,
0.187630,
0.191418,
0.195242,
0.198919,
0.202769,
0.206727,
0.210799,
0.215017,
0.219567,
0.224066,
0.228763,
0.233098,
0.237566,
0.242157,
0.247314,
0.252537,
0.258275,
0.264726,
0.271593,
0.278717,
0.285606,
0.292025,
0.298365,
0.304750,
0.310868,
0.317038,
0.323018,
0.328883,
0.334580,
0.340491,
0.346725,
0.352877,
0.359144,
0.120586,
0.048061,
0.055703,
0.042952,
0.057838,
0.061094,
0.058170,
0.047957,
0.065203,
0.073657,
0.066718,
0.073379,
0.076136,
0.077459,
0.071532,
0.063945,
0.076799,
0.081682,
0.098440,
0.101201,
0.084814,
0.071589,
0.075124,
0.072000,
0.075274,
0.072746,
0.076384,
0.064720,
0.064302,
0.060616,
0.051969,
0.048755,
0.043228,
0.040086,
0.035439,
0.029198,
0.035004,
0.034642,
0.045214,
0.023156,
0.020451,
0.015309,
0.017212,
0.017041,
0.016862,
0.016642,
0.017376,
0.015327,
0.013431,
0.013566,
0.012833,
0.012435,
0.011435,
0.012137,
0.013559,
0.013411,
0.015315,
0.015903,
0.020338,
0.014386,
0.013402,
0.012337,
0.015149,
0.016030,
0.021290,
0.020984,
0.017228,
0.015498,
0.017817,
0.018657,
0.015859,
0.016848,
0.014253,
0.011801,
0.009222,
0.008110,
0.008018,
0.009317,
0.011059,
0.006996,
0.005611,
0.005755,
0.007111,
0.010513,
0.019950,
0.016996,
0.015495,
0.013442,
0.016058,
0.016407,
0.014127,
0.017757,
0.018377,
0.017641,
0.017084,
0.018152,
0.019523,
0.022613,
0.026497,
0.023591,
0.024365,
0.024775,
0.024825,
0.024440,
0.023962,
0.023474,
0.023269,
0.023369,
0.023573,
0.023492,
0.023127,
0.022885,
0.022185,
0.021657,
0.021090,
0.020614,
0.019966,
0.019469,
0.019246,
0.019033,
0.018819,
0.018536,
0.017951,
0.017218,
0.016419,
0.015584,
0.014800,
0.013962,
0.013079,
0.012225,
0.011340,
0.010532,
0.009756,
0.009059,
0.008473,
0.007962,
0.007586,
0.007359,
0.007242,
0.007316,
0.007549,
0.007968,
0.008534,
0.009259,
0.010075,
0.010756,
0.011349,
0.011799,
0.012056,
0.012238,
0.012230,
0.012189,
0.011870,
0.011235,
0.010637,
0.010217,
0.010012,
0.009801,
0.009395,
0.008956,
0.008501,
0.008151,
0.007955,
0.007829,
0.007821,
0.007873,
0.008002,
0.008213,
0.008444,
0.008734,
0.009144,
0.009569,
0.010104,
0.010741,
0.011643,
0.012559,
0.013537,
0.014537,
0.015779,
0.017462,
0.019335,
0.020989,
0.022125,
0.023278,
0.024329,
0.025168,
0.026135,
0.026657,
0.027145,
0.027717,
0.028486,
0.029549,
0.030600,
0.032005,
0.033167,
0.034258,
0.035251,
0.036408,
0.037820,
0.039811,
0.041535,
0.043095,
0.044737,
0.046298,
0.047334,
0.048126,
0.048718,
0.049246,
0.049764,
0.049952,
0.050306,
0.050474,
0.050669,
0.051198,
0.053008,
0.055376,
0.057149,
0.058393,
0.059172,
0.060111,
0.061124,
0.061880,
0.062121,
0.061116,
0.059360,
0.057665,
0.056429,
0.055308,
0.054013,
0.053483,
0.053125,
0.053109,
0.053438,
0.054233,
0.054869,
0.056002,
0.057058,
0.058029,
0.059006,
0.060088,
0.060123,
0.058748,
0.056691,
0.054691,
0.052776,
0.050944,
0.048736,
0.046704,
0.044771,
0.042783,
0.040680,
0.038813,
0.037035,
0.035303,
0.033622,
0.031787,
0.030190,
0.028553,
0.026840,
0.024973,
0.023023,
0.021079,
0.019241,
0.017321,
0.015448,
0.013872,
0.012433,
0.011443,
0.010671,
0.010036,
0.009532,
0.009154,
0.008913,
0.008720,
0.008620,
0.008499,
0.008306,
0.008009,
0.007629,
0.007280,
0.007010,
0.006841,
0.006773,
0.006802,
0.006877,
0.007035,
0.007244,
0.007486,
0.007800,
0.008276,
0.008748,
0.009234,
0.009715,
0.010135,
0.010601,
0.010996,
0.011368,
0.011912,
0.012293,
0.012706,
0.013301,
0.013911,
0.014667,
0.015634,
0.016674,
0.017909,
0.019343,
0.020750,
0.022293,
0.023851,
0.025553,
0.027333,
0.029091,
0.030959,
0.032955,
0.034706,
0.036526,
0.038423,
0.040455,
0.042743,
0.045134,
0.047805,
0.050394,
0.052802,
0.054759,
0.056296,
0.057565,
0.058523,
0.059166,
0.060050,
0.061243,
0.062469,
0.063398,
0.063858,
0.063938,
0.063952,
0.063984,
0.064391,
0.065162,
0.066016,
0.066737,
0.067650,
0.068567,
0.069204,
0.069365,
0.069486,
0.069480,
0.069415,
0.068858,
0.068664,
0.068810,
0.069254,
0.069672,
0.070557,
0.071758,
0.072851,
0.073911,
0.074786,
0.075328,
0.075336,
0.075456,
0.075712,
0.076013,
0.075632,
0.074313,
0.072518,
0.070431,
0.068367,
0.066541,
0.064668,
0.062920,
0.061223,
0.059417,
0.057582,
0.055772,
0.053853,
0.051625,
0.049118,
0.046543,
0.043837,
0.041229,
0.038769,
0.036453,
0.034072,
0.031753,
0.029499,
0.027340,
0.025451,
0.023900,
0.022576,
0.021252,
0.019942,
0.018486,
0.016975,
0.015674,
0.014359,
0.013178,
0.012155,
0.011292,
0.010501,
0.009957,
0.009479,
0.009072,
0.008929,
0.008946,
0.009027,
0.009127,
0.009262,
0.009338,
0.009329,
0.009336,
0.009247,
0.009188,
0.009052,
0.008883,
0.008647,
0.008389,
0.008193,
0.008060,
0.007982,
0.008051,
0.008148,
0.008391,
0.008663,
0.009016,
0.009492,
0.010128,
0.010911,
0.011741,
0.012713,
0.013714,
0.014693,
0.015689,
0.016806,
0.018117,
0.019433,
0.020815,
0.022228,
0.023633,
0.025060,
0.026400,
0.027692,
0.028945,
0.029966,
0.030786,
0.031541,
0.032323,
0.032917,
0.033397,
0.033866,
0.034443,
0.035183,
0.036090,
0.037067,
0.038131,
0.039251,
0.040483,
0.041802,
0.043274,
0.044775,
0.046168,
0.047641,
0.048925,
0.049962,
0.050888,
0.051682,
0.052340,
0.052829,
0.053502,
0.054303,
0.054934,
0.055487,
0.056024,
0.056660,
0.057316,
0.058034,
0.058950,
0.060068,
0.061116,
0.061993,
0.063002,
0.063817,
0.064767,
0.065562,
0.065978,
0.065848,
0.065185,
0.063965,
0.062413,
0.060333,
0.058180,
0.055972,
0.053711,
0.052579,
0.051492,
0.050541,
0.049600,
0.048776,
0.048181,
0.047759,
0.047602,
0.047786,
0.048194,
0.048878,
0.050153,
0.052209,
0.055093,
0.058844,
0.063645,
0.069521,
0.076480,
0.084537,
0.093719,
0.104043,
0.115594,
0.128320,
0.142127,
0.156891,
0.172686,
0.189528,
0.207371,
0.226195,
0.246067,
0.267006,
0.288662,
0.311341,
0.334787,
0.358900,
0.383857,
0.409614,
0.436108,
0.463089,
0.490801,
0.518995,
0.547707,
0.576883,
0.606344,
0.636065,
0.666043,
0.696092,
0.726017,
0.755886,
0.785422,
0.814789,
0.844211,
0.873785,
0.903288,
0.932507,
0.961532,
0.990206,
1.018279,
1.046340,
1.074749,
1.102697,
1.130641,
1.158830,
1.186839,
1.213790,
1.241005,
1.268238,
1.295866,
1.323039,
1.349997,
1.377034,
1.404299,
1.431230,
1.458228,
1.485024,
1.511540,
1.538129,
1.564374,
1.590351,
1.615754,
1.640324,
1.664946,
1.689036,
1.712483,
1.735059,
1.756797,
1.778099,
1.852095,
1.919470,
1.950995,
1.998725,
2.051159,
2.109757,
2.126861,
2.127240,
2.113771,
2.089875,
2.034417,
1.996336,
1.953592,
1.803767,
1.650943,
1.577149,
1.468415,
1.419179,
1.374932,
1.333816,
1.269471,
1.262193,
1.250308,
1.224397,
1.214534,
1.177025,
1.155960,
1.126855,
1.106112,
1.077017,
1.061971,
1.052099,
1.021915,
1.041134,
1.037508,
1.070681,
1.056275,
1.092737,
1.112421,
1.135154,
1.093035,
1.126473,
1.150170,
1.145279,
1.164939,
1.151750,
1.152299,
1.140256,
1.141263,
1.131514,
1.138511,
1.143521,
1.121516,
1.141970,
1.142438,
1.151275,
1.135769,
1.148348,
1.149874,
1.166650,
1.151963,
1.181405,
1.212850,
1.232183,
1.259349,
1.255364,
1.249001,
1.220416,
1.191594,
1.151743,
1.110924,
1.067301,
1.002099,
0.941492,
0.862957,
0.800240,
0.734579,
0.691741,
0.657778,
0.630596,
0.601644,
0.607002,
0.605713,
0.611324,
0.609118,
0.590281,
0.571099,
0.537124,
0.514110,
0.486610,
0.449927,
0.424896,
0.393619,
0.367299,
0.337379,
0.324320,
0.311856,
0.309118,
0.334661,
0.348469,
0.360611,
0.400225,
0.452749,
0.490099,
0.547369,
0.598938,
0.648246,
0.698315,
0.755965,
0.813615,
0.869960,
0.918352,
0.975674,
1.036374,
1.097799,
1.159418,
1.229579,
1.294833,
1.350480,
1.397624,
1.436821,
1.462158,
1.470231,
1.462982,
1.438544,
1.407361,
1.367895,
1.325135,
1.283311,
1.244132,
1.211555,
1.181458,
1.155455,
1.134622,
1.114112,
1.091624,
1.065199,
1.034189,
0.997485,
0.969217,
0.939886,
0.904283,
0.862662,
0.822520,
0.781538,
0.741913,
0.703361,
0.674172,
0.645960,
0.618058,
0.588152,
0.556462,
0.525742,
0.492913,
0.459006,
0.427006,
0.392388,
0.357942,
0.323910,
0.292589,
0.264442,
0.240387,
0.222303,
0.209909,
0.206515,
0.212467,
0.221502,
0.231650,
0.244279,
0.257857,
0.272824,
0.287764,
0.301188,
0.314459,
0.325576,
0.337145,
0.345353,
0.351543,
0.355733,
0.358616,
0.366651,
0.381673,
0.405385,
0.435989,
0.464406,
0.488200,
0.512034,
0.534235,
0.557264,
0.579797,
0.601356,
0.621910,
0.644957,
0.666248,
0.684161,
0.699911,
0.711441,
0.711304,
0.705684,
0.657969,
0.742524,
0.727691,
0.767959,
0.839493,
0.982883,
0.925971,
0.893426,
0.833719,
0.842587,
0.785575,
0.859772,
0.875809,
0.858390,
0.768413,
0.787928,
0.749446,
0.765550,
0.807787,
0.744466,
0.802006,
0.855378,
0.813063,
0.832372,
0.830000,
0.868821,
0.905051,
0.922478,
0.827796,
0.787550,
0.790085,
0.806643,
0.813470,
0.786723,
0.805322,
0.801442,
0.808372,
0.765204,
0.724134,
0.654793,
0.756418,
0.813279,
0.761078,
0.771648,
0.759700,
0.807384,
0.852508,
0.864292,
0.781169,
0.747574,
0.759374,
0.784333,
0.800854,
0.796413,
0.825758,
0.836088,
0.869007,
0.824255,
0.764149,
0.667121,
0.462659,
0.162797,
0.193067,
0.132254,
0.138578,
0.122078,
0.163626,
0.134439,
0.211448,
0.201113,
0.182048,
0.179824,
0.170054,
0.181733,
0.199775,
0.175274,
0.235350,
0.240855,
0.428035,
0.344936,
0.307473,
0.156836,
0.181560,
0.141155,
0.147916,
0.144013,
0.159541,
0.129140,
0.152601,
0.137953,
0.101981,
0.101535,
0.077805,
0.074805,
0.049334,
0.031873,
0.031866,
0.028377,
0.146114,
0.130238,
0.037600,
0.014978,
0.017796,
0.015687,
0.015709,
0.014462,
0.014033,
0.019116,
0.020716,
0.026037,
0.035234,
0.045611,
0.063221,
0.073238,
0.085628,
0.102476,
0.105239,
0.112115,
0.139612,
0.146908,
0.114961,
0.120214,
0.123562,
0.131112,
0.137844,
0.150000,
0.152158,
0.164411,
0.158791,
0.160842,
0.167970,
0.177855,
0.198494,
0.192450,
0.188274,
0.204491,
0.192936,
0.181954,
0.152668,
0.134325,
0.236402,
0.244677,
0.235693,
0.209088,
0.324321,
0.291061,
0.304491,
0.263051,
0.374907,
0.506550,
0.480285,
0.656032,
0.698482,
0.722849,
0.502888,
0.456824,
0.429900,
0.397341,
0.275137,
0.085565,
0.080660,
0.077187,
0.074498,
0.072155,
0.070278,
0.068700,
0.067458,
0.066374,
0.065535,
0.065029,
0.064975,
0.065139,
0.065548,
0.066479,
0.068022,
0.069392,
0.070389,
0.071640,
0.073190,
0.074711,
0.076429,
0.078376,
0.080759,
0.083589,
0.086824,
0.090033,
0.093649,
0.097183,
0.101073,
0.105105,
0.109523,
0.114437,
0.119640,
0.125358,
0.131816,
0.138920,
0.145789,
0.152417,
0.158381,
0.164854,
0.171842,
0.179220,
0.187286,
0.195814,
0.205531,
0.216252,
0.227736,
0.239884,
0.166533,
0.273143,
0.222486,
0.348940,
0.481038,
0.486314,
0.292137,
0.268475,
0.194004,
0.303207,
0.331258,
0.438217,
0.468359,
0.435119,
0.324618,
0.364450,
0.198233,
0.088918,
0.090392,
0.135791,
0.239319,
0.269806,
0.230042,
0.230235,
0.174612,
0.219897,
0.251381,
0.304504,
0.184916,
0.158041,
0.189218,
0.176378,
0.225908,
0.194761,
0.232163,
0.251638,
0.187929,
0.088425,
0.053539,
0.058285,
0.148147,
0.182001,
0.158312,
0.168615,
0.122566,
0.136709,
0.172442,
0.205987,
0.135712,
0.121769,
0.142975,
0.143660,
0.163896,
0.151627,
0.173347,
0.176139,
0.158175,
0.087370,
0.050480,
0.038663,
0.087600,
0.113175,
0.096786,
0.113181,
0.086520,
0.077980,
0.092919,
0.098711,
0.064310,
0.057138,
0.066603,
0.085603,
0.091549,
0.089738,
0.100048,
0.092444,
0.095042,
0.051036,
0.022179,
0.022754,
0.021327,
