mse,average
0.472478,0.452150
0.440812,
0.416772,
0.399692,
0.386660,
0.379160,
0.381035,
0.385260,
0.392777,
0.400153,
0.411768,
0.424782,
0.433986,
0.442120,
0.444721,
0.444135,
0.446095,
0.452344,
0.463971,
0.472428,
0.479639,
0.493553,
0.517756,
0.549471,
0.587175,
0.627621,
0.674590,
0.722697,
0.768446,
0.822219,
0.874070,
0.928317,
0.972850,
1.011647,
1.046109,
1.081774,
1.111811,
1.146998,
1.177957,
1.213740,
1.250111,
1.284864,
1.307612,
1.317278,
1.320470,
1.324827,
1.336596,
1.352813,
1.392763,
1.475452,
1.238891,
1.527272,
1.637339,
1.505895,
1.466947,
1.435759,
1.419490,
1.407688,
1.475109,
1.433395,
1.367784,
1.412044,
1.323735,
1.234827,
1.249847,
1.329103,
1.463275,
1.423046,
1.209684,
1.235471,
1.288194,
1.422437,
1.475781,
1.440905,
1.429487,
1.452138,
1.482281,
1.498093,
1.525506,
1.540049,
1.543709,
1.593066,
1.545018,
1.509042,
1.519393,
1.578165,
1.627635,
1.553173,
1.464811,
1.524235,
1.466964,
1.470787,
1.396090,
1.241201,
1.079516,
0.976905,
0.911333,
0.869900,
0.830368,
0.803300,
0.736057,
0.694587,
0.655796,
0.638350,
0.660935,
0.713718,
0.716610,
0.656722,
0.613959,
0.650546,
0.552543,
0.543632,
0.508866,
0.440317,
0.366642,
0.321850,
0.308624,
0.323392,
0.312843,
0.357807,
0.328905,
0.289898,
0.268847,
0.240108,
0.229931,
0.248667,
0.225679,
0.183650,
0.153408,
0.147084,
0.118586,
0.150790,
0.198042,
0.144397,
0.196074,
0.116279,
0.106297,
0.257711,
0.249838,
0.465498,
0.414507,
0.253934,
0.239759,
0.196398,
0.179951,
0.225878,
0.176998,
0.149841,
0.122039,
0.108881,
0.114157,
0.117803,
0.119630,
0.122362,
0.125558,
0.127270,
0.127778,
0.128966,
0.129977,
0.132147,
0.132523,
0.132599,
0.133720,
0.136491,
0.140751,
0.143244,
0.144772,
0.150086,
0.156597,
0.165317,
0.177814,
0.192796,
0.210432,
0.229144,
0.248499,
0.264362,
0.279024,
0.291927,
0.301227,
0.308085,
0.313029,
0.317142,
0.319450,
0.320865,
0.321160,
0.319127,
0.315881,
0.310354,
0.302643,
0.290750,
0.279390,
0.267539,
0.253832,
0.238316,
0.221395,
0.207327,
0.195499,
0.184947,
0.174289,
0.165230,
0.158032,
0.154123,
0.150648,
0.144545,
0.137508,
0.132331,
0.126869,
0.121720,
0.117332,
0.114363,
0.112916,
0.113267,
0.114158,
0.115258,
0.116499,
0.118759,
0.121536,
0.124673,
0.127068,
0.127954,
0.127761,
0.126056,
0.123279,
0.119034,
0.113276,
0.107626,
0.101898,
0.096234,
0.091507,
0.087017,
0.082371,
0.077793,
0.072530,
0.067698,
0.062987,
0.058897,
0.055457,
0.050686,
0.045044,
0.038747,
0.032409,
0.027512,
0.024537,
0.023398,
0.023988,
0.025759,
0.028827,
0.031646,
0.034538,
0.038121,
0.042282,
0.045158,
0.047728,
0.050057,
0.051957,
0.053636,
0.055336,
0.057593,
0.060759,
0.064942,
0.070056,
0.074932,
0.079978,
0.085204,
0.090710,
0.095931,
0.101111,
0.106003,
0.111011,
0.116176,
0.120723,
0.125027,
0.129212,
0.133482,
0.137689,
0.142015,
0.146787,
0.152007,
0.157174,
0.162165,
0.166854,
0.170289,
0.170796,
0.168733,
0.166527,
0.164822,
0.163002,
0.160979,
0.158626,
0.156148,
0.154344,
0.154785,
0.157230,
0.160891,
0.166425,
0.174655,
0.184693,
0.194594,
0.203009,
0.209754,
0.214523,
0.216138,
0.215638,
0.212430,
0.209571,
0.205514,
0.202338,
0.200563,
0.200553,
0.201158,
0.201714,
0.202195,
0.203695,
0.203713,
0.201669,
0.198223,
0.194590,
0.189823,
0.185631,
0.181962,
0.178401,
0.175147,
0.171293,
0.167411,
0.164207,
0.160108,
0.156284,
0.151436,
0.146152,
0.140697,
0.136501,
0.132858,
0.129037,
0.124809,
0.121024,
0.117691,
0.113681,
0.109397,
0.104984,
0.100820,
0.097512,
0.094098,
0.090823,
0.086787,
0.081759,
0.075701,
0.069073,
0.062665,
0.057084,
0.052438,
0.048150,
0.044261,
0.041626,
0.040085,
0.039236,
0.038560,
0.038557,
0.038661,
0.038816,
0.038618,
0.037254,
0.036435,
0.035456,
0.033923,
0.032642,
0.031631,
0.030908,
0.031049,
0.031914,
0.033363,
0.035628,
0.038644,
0.042623,
0.047415,
0.052833,
0.058786,
0.065160,
0.071816,
0.078546,
0.085243,
0.092043,
0.098515,
0.104954,
0.110485,
0.116027,
0.121809,
0.127255,
0.133428,
0.139395,
0.145249,
0.151342,
0.157479,
0.163578,
0.169231,
0.174594,
0.179815,
0.184590,
0.188877,
0.191870,
0.193795,
0.195470,
0.195345,
0.194318,
0.192965,
0.191376,
0.189849,
0.188472,
0.186390,
0.184837,
0.184037,
0.183835,
0.183836,
0.184914,
0.186896,
0.189732,
0.193038,
0.195150,
0.195606,
0.194383,
0.193116,
0.191327,
0.188650,
0.184808,
0.181211,
0.178171,
0.175437,
0.172413,
0.169628,
0.167856,
0.166083,
0.164241,
0.162920,
0.162194,
0.161719,
0.160807,
0.159393,
0.157569,
0.155703,
0.153416,
0.150830,
0.147844,
0.144737,
0.140956,
0.137736,
0.134453,
0.131061,
0.127024,
0.122816,
0.118936,
0.115422,
0.111709,
0.107890,
0.103346,
0.098063,
0.092536,
0.086738,
0.080611,
0.074454,
0.068322,
0.062263,
0.056267,
0.050463,
0.044622,
0.039305,
0.034426,
0.030153,
0.026642,
0.023647,
0.021162,
0.019250,
0.017880,
0.016916,
0.016414,
0.016415,
0.016743,
0.017448,
0.018390,
0.019615,
0.021089,
0.022698,
0.024418,
0.026293,
0.028210,
0.030209,
0.032542,
0.035246,
0.038193,
0.041423,
0.045133,
0.049209,
0.053712,
0.058808,
0.064471,
0.070564,
0.076840,
0.083509,
0.090502,
0.097354,
0.103660,
0.109203,
0.114403,
0.119417,
0.124601,
0.129613,
0.134509,
0.139518,
0.144249,
0.192716,
0.241481,
0.289408,
0.337521,
0.386429,
0.435513,
0.485109,
0.535001,
0.584439,
0.635201,
0.687155,
0.740064,
0.793881,
0.849021,
0.904702,
0.962541,
1.020151,
1.077789,
1.134109,
1.189541,
1.245534,
1.301620,
1.354746,
1.406403,
1.458631,
1.510512,
1.559137,
1.606940,
1.654523,
1.701223,
1.748008,
1.794238,
1.840328,
1.885712,
1.931569,
1.974072,
2.013940,
2.052209,
2.088084,
2.121351,
2.151872,
2.179290,
2.206969,
2.231127,
2.253508,
2.274717,
2.294033,
2.311999,
2.327432,
2.343699,
2.358448,
2.374199,
2.388344,
2.406402,
2.424264,
2.442479,
2.461814,
2.481019,
2.501984,
2.522021,
2.543519,
2.561378,
2.578715,
2.594414,
2.610822,
2.629537,
2.649607,
2.670840,
2.695222,
2.721489,
2.746933,
2.774111,
2.806018,
2.837226,
2.866780,
2.894892,
2.920431,
2.945286,
2.969420,
2.991918,
3.010525,
3.027070,
3.043892,
3.059136,
3.075033,
3.089154,
3.103651,
3.116503,
3.128298,
3.137808,
3.145615,
3.152073,
3.159112,
3.165758,
3.172289,
3.178809,
3.186901,
3.196100,
3.204932,
3.213686,
0.804163,
0.348627,
0.353798,
0.372382,
0.478526,
0.428459,
0.383118,
0.374265,
0.542509,
0.458893,
0.405950,
0.507455,
0.502718,
0.488212,
0.488219,
0.521335,
0.560007,
0.593225,
0.646444,
0.341313,
0.700242,
0.343892,
0.316679,
0.322028,
0.373191,
0.315029,
0.313942,
0.264795,
0.295546,
0.263966,
0.250662,
0.288209,
0.270335,
0.311043,
0.310255,
0.282794,
0.255806,
0.191836,
0.177986,
0.345017,
0.213323,
0.220199,
0.259168,
0.239104,
0.232953,
0.247512,
0.266377,
0.251328,
0.213709,
0.278240,
0.301847,
0.263171,
0.295683,
0.239012,
0.221680,
0.339687,
0.276283,
0.202045,
0.263926,
0.687742,
0.256006,
0.281284,
0.376666,
0.330891,
0.314759,
0.357316,
0.381813,
0.311462,
0.248557,
0.316327,
0.326505,
0.264796,
0.269706,
0.278082,
0.251254,
0.324078,
0.229119,
0.139032,
0.087355,
0.205818,
0.224030,
0.247568,
0.307888,
0.228996,
0.219468,
0.302661,
0.329807,
0.239580,
0.253625,
0.223152,
0.224597,
0.223395,
0.202723,
0.239488,
0.231222,
0.305174,
0.290057,
0.256133,
0.233004,
0.373635,
0.388129,
0.397780,
0.408613,
0.420407,
0.432081,
0.433326,
0.437148,
0.438125,
0.430619,
0.432529,
0.422921,
0.413916,
0.399011,
0.434471,
0.442627,
0.453946,
0.483879,
0.500136,
0.513462,
0.515175,
0.542108,
0.553642,
0.569363,
0.582917,
0.599937,
0.597429,
0.604157,
0.599608,
0.583946,
0.582609,
0.560637,
0.529760,
0.489107,
0.527588,
0.512648,
0.507528,
0.540069,
0.549531,
0.533606,
0.501219,
0.524063,
0.510423,
0.510781,
0.506454,
0.497443,
0.484116,
0.337638,
0.298743,
0.255641,
0.228050,
0.221578,
0.208563,
0.219700,
0.249676,
0.246015,
0.274220,
0.233516,
0.184956,
0.184462,
0.163361,
0.159325,
0.168289,
0.179291,
0.197110,
0.228528,
0.250070,
0.258421,
0.275194,
0.287442,
0.292744,
0.298131,
0.306553,
0.309181,
0.303695,
0.304183,
0.290014,
0.282594,
0.272329,
0.260892,
0.251794,
0.251917,
0.248715,
0.246942,
0.243775,
0.255400,
0.261444,
0.233957,
0.232793,
0.220535,
0.197911,
0.183777,
0.186358,
0.186481,
0.168699,
0.177760,
0.165457,
0.173144,
0.175438,
0.170266,
0.167739,
0.181154,
0.183759,
0.193870,
0.196387,
0.220218,
0.241756,
0.204592,
0.212405,
0.205055,
0.177784,
0.163596,
0.177262,
0.193613,
0.169395,
0.189009,
0.168110,
0.189311,
0.200613,
0.196577,
0.205282,
0.230687,
0.221795,
0.238411,
0.241906,
0.278986,
0.308242,
0.228288,
0.232446,
0.228130,
0.189899,
0.148418,
0.167610,
0.188880,
0.151046,
0.163486,
0.141070,
0.173886,
0.199195,
0.199495,
0.234007,
0.278425,
0.254345,
0.287127,
0.285318,
0.346233,
0.373529,
0.376839,
0.380273,
0.383988,
0.388209,
0.392907,
0.397780,
0.402846,
0.408161,
0.413393,
0.418493,
0.423374,
0.428306,
0.432765,
0.436942,
0.441143,
0.445396,
0.156125,
0.114878,
0.094833,
0.092927,
0.092939,
0.095723,
0.099967,
0.087281,
0.091244,
0.103103,
0.104126,
0.101256,
0.108509,
0.105315,
0.123295,
0.101841,
0.087043,
