mse,average
0.004763,0.314830
0.005230,
0.005674,
0.006185,
0.006663,
0.007175,
0.007813,
0.008524,
0.009184,
0.009735,
0.010410,
0.011266,
0.012000,
0.012580,
0.012967,
0.013427,
0.013877,
0.014416,
0.015066,
0.015838,
0.016365,
0.016533,
0.016248,
0.015611,
0.014809,
0.013887,
0.013037,
0.012287,
0.011638,
0.011134,
0.010632,
0.010126,
0.009683,
0.009373,
0.009040,
0.008721,
0.008469,
0.008289,
0.008115,
0.007980,
0.007806,
0.007695,
0.007630,
0.007574,
0.007505,
0.007461,
0.007480,
0.007483,
0.007495,
0.007509,
0.007538,
0.007597,
0.007704,
0.007835,
0.007984,
0.008054,
0.008113,
0.008135,
0.008142,
0.008265,
0.008374,
0.008443,
0.008509,
0.008655,
0.008773,
0.008881,
0.008981,
0.009062,
0.009126,
0.009179,
0.009159,
0.009142,
0.009077,
0.009068,
0.009027,
0.008914,
0.008775,
0.008597,
0.008412,
0.008135,
0.007773,
0.007439,
0.007101,
0.006716,
0.006263,
0.005784,
0.005339,
0.004962,
0.004640,
0.004380,
0.004169,
0.003991,
0.003822,
0.003732,
0.003704,
0.003704,
0.003752,
0.003847,
0.003906,
0.003988,
0.004126,
0.004305,
0.004501,
0.004694,
0.004893,
0.005217,
0.005784,
0.006418,
0.007103,
0.007927,
0.008760,
0.009491,
0.010158,
0.011005,
0.011888,
0.013174,
0.014685,
0.016408,
0.018603,
0.020978,
0.023242,
0.025376,
0.027262,
0.029180,
0.031110,
0.032723,
0.034143,
0.034952,
0.035724,
0.036409,
0.036960,
0.037372,
0.037731,
0.037988,
0.038712,
0.039346,
0.040202,
0.041049,
0.041437,
0.041755,
0.042023,
0.042295,
0.042299,
0.041996,
0.041580,
0.041391,
0.041365,
0.041418,
0.041543,
0.041802,
0.042326,
0.043029,
0.043797,
0.044666,
0.045563,
0.046436,
0.047365,
0.048426,
0.049922,
0.051563,
0.053323,
0.055113,
0.057211,
0.058945,
0.060869,
0.063025,
0.065280,
0.067378,
0.069712,
0.072355,
0.075364,
0.078252,
0.081147,
0.083409,
0.084614,
0.085541,
0.086492,
0.087658,
0.088497,
0.088647,
0.088862,
0.089729,
0.091199,
0.093201,
0.095465,
0.098362,
0.102303,
0.107504,
0.113324,
0.119911,
0.127800,
0.136087,
0.143434,
0.152377,
0.160901,
0.168362,
0.176457,
0.184251,
0.192361,
0.200271,
0.207112,
0.212574,
0.217809,
0.221595,
0.223560,
0.224814,
0.226858,
0.229844,
0.232687,
0.233919,
0.233887,
0.235079,
0.236357,
0.238519,
0.240363,
0.241822,
0.243958,
0.245667,
0.247825,
0.249931,
0.252755,
0.254533,
0.254912,
0.255034,
0.253833,
0.252578,
0.250864,
0.250184,
0.248093,
0.244609,
0.239562,
0.233827,
0.227851,
0.222897,
0.217531,
0.212687,
0.208224,
0.203786,
0.199637,
0.194883,
0.189286,
0.182298,
0.174619,
0.166200,
0.157935,
0.149348,
0.140874,
0.133049,
