date,date1,date2,date3,date4,date5,date6,OT,OT,OT
2020-1-1 0:00,23.78042,24.41411,36.65227,2106.27768,-1.06412,46.62911,9.369569,3.490411,0
2020-1-1 1:00,23.79979,24.43653,36.5943,2101.30048,-1.04068,46.64335,9.401678,3.502372,0
2020-1-1 2:00,23.81911,24.4589,36.5378,2096.29983,-1.01607,46.65759,9.431646,3.513536,0
2020-1-1 3:00,23.83838,24.48123,36.4828,2091.27666,-0.99038,46.67181,9.459384,3.52387,0
2020-1-1 4:00,23.8576,24.50351,36.42937,2086.23199,-0.9637,46.68602,9.484812,3.533342,0
2020-1-1 5:00,23.87677,24.52575,36.37755,2081.16688,-0.93612,46.70022,9.507858,3.541927,0
2020-1-1 6:00,23.89589,24.54794,36.32738,2076.08246,-0.90774,46.71441,9.528459,3.549602,0
2020-1-1 7:00,23.91495,24.57009,36.27889,2070.97992,-0.87864,46.72858,9.546563,3.556346,0
2020-1-1 8:00,23.93397,24.59219,36.23212,2065.86051,-0.84895,46.74275,9.562127,3.562144,0
2020-1-1 9:00,23.95293,24.61424,36.18707,2060.7255,-0.81875,46.7569,9.575118,3.566983,0
2020-1-1 10:00,23.97184,24.63625,36.14378,2055.57624,-0.78815,46.77104,9.585515,3.570856,0
2020-1-1 11:00,23.99069,24.65821,36.10225,2050.41408,-0.75727,46.78516,9.593305,3.573759,0
2020-1-1 12:00,24.0095,24.68012,36.06248,2045.24042,-0.7262,46.79928,9.598488,3.57569,0
2020-1-1 13:00,24.02825,24.70199,36.02448,2040.05668,-0.69505,46.81338,9.601074,3.576653,0
2020-1-1 14:00,24.04695,24.72381,35.98824,2034.86431,-0.66394,46.82746,9.601081,3.576655,0
2020-1-1 15:00,24.0656,24.74559,35.95374,2029.66476,-0.63297,46.84154,9.59854,3.575709,0
2020-1-1 16:00,24.0842,24.76731,35.92097,2024.45949,-0.60225,46.8556,9.593491,3.573828,0
2020-1-1 17:00,24.10274,24.78899,35.88989,2019.24997,-0.57188,46.86964,9.585983,3.571031,0
2020-1-1 18:00,24.12123,24.81062,35.86049,2014.03765,-0.54197,46.88368,9.576075,3.56734,0
2020-1-1 19:00,24.13967,24.8322,35.83273,2008.82399,-0.51263,46.8977,9.563835,3.56278,0
2020-1-1 20:00,24.15806,24.85374,35.80656,2003.61043,-0.48394,46.9117,9.549339,3.55738,0
2020-1-1 21:00,24.17639,24.87523,35.78194,1998.39839,-0.45602,46.9257,9.53267,3.551171,0
2020-1-1 22:00,24.19467,24.89667,35.75883,1993.18925,-0.42896,46.93967,9.51392,3.544186,0
2020-1-1 23:00,24.2129,24.91806,35.73716,1987.98439,-0.40284,46.95364,9.493187,3.536462,0
2020-1-2 0:00,24.23108,24.9394,35.71688,1982.78514,-0.37775,46.96759,9.470574,3.528038,0
2020-1-2 1:00,24.2492,24.9607,35.69792,1977.59278,-0.35379,46.98153,9.44619,3.518954,0
2020-1-2 2:00,24.26727,24.98195,35.68022,1972.40858,-0.33102,46.99546,9.42015,3.509254,0
2020-1-2 3:00,24.28529,25.00315,35.66371,1967.23374,-0.30953,47.00937,9.392572,3.49898,0
2020-1-2 4:00,24.30326,25.0243,35.64831,1962.06942,-0.28938,47.02327,9.363578,3.488179,0
2020-1-2 5:00,24.32118,25.04541,35.63395,1956.91672,-0.27064,47.03716,9.333291,3.476897,0
2020-1-2 6:00,24.33904,25.06647,35.62055,1951.77669,-0.25337,47.05104,9.30184,3.46518,0
2020-1-2 7:00,24.35686,25.08748,35.60803,1946.65034,-0.23763,47.0649,9.269352,3.453078,0
2020-1-2 8:00,24.37462,25.10844,35.5963,1941.53861,-0.22347,47.07875,9.235957,3.440637,0
2020-1-2 9:00,24.39233,25.12936,35.58529,1936.44236,-0.21092,47.09259,9.201784,3.427907,0
2020-1-2 10:00,24.40999,25.15022,35.57489,1931.36241,-0.20004,47.10642,9.166963,3.414935,0
2020-1-2 11:00,24.4276,25.17104,35.56503,1926.29952,-0.19085,47.12023,9.131623,3.40177,0
2020-1-2 12:00,24.44516,25.19182,35.55561,1921.25437,-0.18338,47.13404,9.095891,3.388459,0
2020-1-2 13:00,24.46267,25.21255,35.54655,1916.2276,-0.17766,47.14783,9.059895,3.375049,0
