date,date1,date2,date3,date4,date5,OT,OT,OT
0.047160,0.038796,57.673266,5079.205548,-0.475286,44.996921,7.049020,2.628379,0.026730
0.094264,0.088111,57.613580,5075.376112,-0.441783,44.997856,7.096463,2.643681,0.024205
0.142368,0.136749,57.560795,5071.512671,-0.407401,44.999753,7.139434,2.660547,0.020254
0.190036,0.184873,57.510645,5067.616401,-0.372432,45.000982,7.179329,2.676476,0.019113
0.237595,0.232056,57.464972,5063.689365,-0.335663,45.001750,7.212775,2.687364,0.017210
0.287225,0.279330,57.424072,5059.735857,-0.300854,45.000485,7.241931,2.697730,0.014160
0.334980,0.328220,57.389764,5055.757442,-0.264816,45.001013,7.265210,2.706794,0.012353
0.381210,0.374624,57.359530,5051.755695,-0.227539,45.001558,7.285290,2.714860,0.011932
0.427824,0.422938,57.334737,5047.735108,-0.190696,45.003198,7.301397,2.719763,0.011668
0.474044,0.471027,57.312610,5043.696771,-0.152595,45.002267,7.313956,2.724126,0.009651
0.521896,0.520498,57.297088,5039.643847,-0.115364,45.003739,7.320235,2.726959,0.008733
0.569789,0.569019,57.284579,5035.578065,-0.078557,45.003702,7.321717,2.726982,0.006942
0.618404,0.616618,57.277049,5031.505209,-0.042744,45.004782,7.318133,2.726535,0.007213
0.664526,0.664911,57.273124,5027.430794,-0.030198,44.929508,7.310507,2.724298,-36.993858
0.713197,0.712975,57.271920,5023.356990,-0.020743,44.856217,7.302327,2.721851,-36.995062
0.761617,0.760810,57.270800,5019.283863,-0.008364,44.781630,7.292716,2.717685,-36.997046
0.810240,0.809122,57.271030,5015.217171,0.000895,44.705976,7.281276,2.713648,-36.996702
0.857364,0.857068,57.270535,5011.153504,0.009849,44.632845,7.267416,2.706764,-36.997461
0.904836,0.906112,57.274189,5007.095538,0.020875,44.559465,7.252015,2.702431,-36.996441
0.954469,0.951596,57.277234,5003.041003,0.028883,44.484453,7.238194,2.697004,-36.996070
1.000493,0.999000,57.281963,4998.994692,0.037963,44.409700,7.223398,2.691304,-36.995854
1.048977,1.046959,57.287541,4994.952557,0.047162,44.337377,7.204042,2.685479,-36.996892
1.097815,1.092051,57.296042,4990.921034,0.054080,44.264302,7.186095,2.680599,-36.995876
1.145574,1.140100,57.302466,4986.896245,0.060853,44.189494,7.167639,2.674515,-36.996918
1.193299,1.186068,57.310737,4982.881089,0.070128,44.115129,7.147443,2.665716,-36.997550
1.241016,1.231076,57.320753,4978.877024,0.077194,44.041340,7.125806,2.656332,-36.997486
1.290168,1.277880,57.331756,4974.882935,0.082872,43.969388,7.103061,2.646769,-36.997269
1.337376,1.322555,57.342403,4970.899621,0.090865,43.897137,7.078860,2.639740,-36.998454
1.385258,1.367562,57.354104,4966.925974,0.096856,43.824380,7.055127,2.631320,-36.997582
1.433734,1.413296,57.367255,4962.963821,0.102353,43.753242,7.030357,2.621063,-36.997455
1.482229,1.460136,57.381923,4959.016130,0.107492,43.681527,7.005961,2.610491,-36.998723
1.528924,1.505012,57.394965,4955.078719,0.111340,43.611142,6.980684,2.601622,-36.999328
1.576238,1.551100,57.411006,4951.155514,0.115146,43.538893,6.954714,2.592103,-37.001846
1.623745,1.597080,57.426807,4947.245193,0.119251,43.467647,6.929349,2.582071,-37.001263
1.671835,1.643368,57.442669,4943.348737,0.122392,43.398002,6.902490,2.572271,-36.999398
1.720082,1.689555,57.457793,4939.466025,0.124452,43.327976,6.876181,2.561310,-36.997826
1.766463,1.735608,57.475371,4935.597288,0.128302,43.257868,6.850049,2.552855,-36.996939
1.815621,1.780202,57.493157,4931.744043,0.129361,43.187413,6.825063,2.542056,-36.997205
1.862306,1.825768,57.511027,4927.904654,0.129268,43.117412,6.797701,2.531892,-36.997465
1.911262,1.872051,57.527827,4924.079974,0.130105,43.048315,6.771467,2.520993,-36.996026
1.958930,1.918411,57.545201,4920.271330,0.128913,42.979455,6.745670,2.512346,-36.995672
2.008213,1.962919,57.560381,4916.477108,0.128638,42.912019,6.719220,2.503024,-36.995214
2.055684,2.008596,57.579632,4912.696406,0.129085,42.841944,6.692549,2.492296,-36.995421
2.104703,2.051647,57.595655,4908.931075,0.129409,42.773793,6.665473,2.482527,-36.996884
2.153411,2.096737,57.611384,4905.180120,0.127452,42.705182,6.640888,2.474118,-36.996397
2.201227,2.141811,57.627371,4901.446080,0.125244,42.637664,6.616321,2.463886,-36.999232
2.249471,2.188277,57.642498,4897.724497,0.123197,42.571547,6.591540,2.453835,-36.998458
2.297849,2.230922,57.657212,4894.019122,0.119438,42.504820,6.567294,2.444905,-36.998791
2.346403,2.276095,57.673121,4890.327129,0.115595,42.439404,6.542056,2.434228,-36.998852
2.393993,2.318805,57.687765,4886.648870,0.110483,42.371898,6.520271,2.425883,-36.997492
2.441302,2.362627,57.701507,4882.984280,0.106183,42.303622,6.497730,2.418205,-36.998631
2.489835,2.408198,57.714635,4879.333670,0.101092,42.236343,6.475282,2.411246,-36.998600
2.539870,2.452313,57.727837,4875.695981,0.095590,42.170794,6.453430,2.402381,-36.996529
2.586234,2.494886,57.740737,4872.072538,0.088809,42.105637,6.433529,2.394185,-36.996412
2.633916,2.537024,57.751951,4868.461500,0.081937,42.038544,6.412835,2.385069,-36.996048
2.682506,2.579794,57.761558,4864.861116,0.076150,41.973719,6.393662,2.377631,-36.996730
2.731047,2.621214,57.770985,4861.271362,0.068973,41.909434,6.374575,2.372758,-36.996959
2.779039,2.665399,57.779889,4857.695902,0.060217,41.844343,6.358036,2.366496,-36.997709
2.826991,2.706676,57.785819,4854.130486,0.053256,41.780657,6.340858,2.360488,-36.999190
2.876614,2.751241,57.791624,4850.577231,0.046068,41.715901,6.326541,2.354939,-36.998975
2.927263,2.793270,57.797286,4847.033843,0.037558,41.651775,6.311239,2.350029,-36.998645
2.976270,2.833451,57.799254,4843.501490,0.027572,41.588447,6.298766,2.346223,-36.997122
3.024834,2.877814,57.801788,4839.976535,0.020294,41.522258,6.286501,2.341646,-36.997823
3.073657,2.921270,57.802990,4836.460865,0.011966,41.457519,6.274936,2.336266,-36.998351
3.121563,2.962884,57.804925,4832.953835,0.003555,41.394231,6.266530,2.331061,-36.999461
3.170588,3.005078,57.802583,4829.454251,-0.003607,41.328851,6.256360,2.327948,-36.998572
3.219356,3.047448,57.801531,4825.961540,-0.014773,41.262121,6.248248,2.325690,-36.998470
3.266309,3.088179,57.798787,4822.475056,-0.025123,41.199793,6.242442,2.325758,-37.000083
3.313622,3.132072,57.795385,4818.994907,-0.035152,41.135130,6.238428,2.322812,-37.000312
3.361115,3.174704,57.791597,4815.519777,-0.045180,41.070950,6.233259,2.320294,-36.999023
3.409231,3.216995,57.785055,4812.048330,-0.056349,41.006886,6.230401,2.319303,-36.999201
3.457180,3.259816,57.778152,4808.582332,-0.068008,40.943878,6.230637,2.318093,-37.000098
3.506291,3.302572,57.769587,4805.118084,-0.079429,40.878888,6.231607,2.319407,-37.000749
3.554566,3.343477,57.757902,4801.657658,-0.089606,40.814994,6.231739,2.318334,-37.000702
3.602066,3.385823,57.744196,4798.200802,-0.100689,40.751800,6.232268,2.319071,-37.001624
3.650005,3.429047,57.730824,4794.745807,-0.112461,40.689197,6.235498,2.320452,-37.000389
3.699604,3.473011,57.717520,4791.289686,-0.123547,40.624370,6.237821,2.323694,-36.998247
3.748391,3.514887,57.702173,4787.835261,-0.135304,40.559022,6.243771,2.325425,-36.997733
3.798187,3.557487,57.683907,4784.381755,-0.147983,40.498403,6.251318,2.327894,-36.998567
3.848104,3.598955,57.665200,4780.924213,-0.161286,40.437092,6.258504,2.330306,-37.000159
3.896394,3.639951,57.644584,4777.465333,-0.172668,40.373262,6.268740,2.333751,-37.000317
3.945360,3.681888,57.622759,4774.005820,-0.184183,40.308320,6.277384,2.335413,-36.999960
3.992337,3.723249,57.598232,4770.541473,-0.194092,40.245337,6.290295,2.339349,-36.999748
4.040706,3.764633,57.575320,4767.073497,-0.204627,40.180555,6.302472,2.344146,-36.999785
4.090426,3.803882,57.548774,4763.601804,-0.214509,40.116489,6.317986,2.349750,-36.999401
4.140060,3.846964,57.519353,4760.123746,-0.226972,40.050295,6.331989,2.355294,-37.000305
4.189252,3.888197,57.488950,4756.639715,-0.238548,39.984914,6.347074,2.361500,-36.999413
4.237794,3.929545,57.458463,4753.148502,-0.250741,39.919403,6.365307,2.367413,-36.998641
4.287538,3.971649,57.427665,4749.652016,-0.261321,39.852194,6.383735,2.375591,-36.999001
4.334158,4.012696,57.392730,4746.144106,-0.272324,39.786939,6.405147,2.382553,-36.997751
4.382290,4.053629,57.358859,4742.628065,-0.282606,39.721831,6.425198,2.392625,-36.997455
4.431799,4.094183,57.323397,4739.102661,-0.292760,39.655965,6.448771,2.403925,-36.998974
4.480838,4.133414,57.286513,4735.569365,-0.302606,39.589564,6.473469,2.415167,-36.998796
4.530539,4.174719,57.250334,4732.022214,-0.314097,39.523825,6.500093,2.424415,-36.997319
