date,date1,date2,date3,date4,date5,OT,OT,OT
0.046278,0.047966,50.312178,4757.492252,-0.489525,45.001176,6.502118,2.417821,0.006110
0.090422,0.092189,50.251713,4753.971764,-0.476150,45.001595,6.545990,2.433750,0.006464
0.135170,0.137487,50.194496,4750.420880,-0.460560,45.001226,6.588158,2.450393,0.006858
0.180560,0.182287,50.138034,4746.843413,-0.441389,45.003289,6.628521,2.464869,0.006807
0.224776,0.228546,50.081901,4743.238109,-0.422565,45.003262,6.667235,2.479884,0.006402
0.271538,0.271952,50.029582,4739.606233,-0.403614,45.002738,6.703314,2.495266,0.005801
0.316622,0.317646,49.982370,4735.948979,-0.383779,45.001976,6.738069,2.509723,0.004522
0.360163,0.362797,49.935202,4732.267166,-0.363428,45.002920,6.770931,2.522558,0.005618
0.407308,0.407469,49.891485,4728.561869,-0.344202,45.001802,6.801486,2.535781,0.005707
0.450207,0.451824,49.849568,4724.836287,-0.323175,45.004075,6.832102,2.545579,0.004681
0.494648,0.498703,49.809956,4721.090500,-0.302463,45.004520,6.857016,2.554240,0.005092
0.539777,0.544270,49.773970,4717.324906,-0.280890,45.005744,6.882199,2.564299,0.005102
0.584882,0.588944,49.739524,4713.544360,-0.260102,45.006186,6.903120,2.571882,0.005697
0.630783,0.633387,49.707348,4709.745232,-0.239071,45.006399,6.921780,2.580713,0.004775
0.674464,0.676765,49.680726,4705.930391,-0.217635,45.007486,6.938233,2.586841,0.003111
0.718446,0.720419,49.655348,4702.100413,-0.196173,45.008694,6.951353,2.591983,0.002068
0.762332,0.765102,49.632928,4698.259600,-0.175294,45.010627,6.961715,2.597575,0.001867
0.807192,0.808644,49.613440,4694.407962,-0.152027,45.010125,6.969945,2.601338,0.002249
0.850384,0.851413,49.597031,4690.547155,-0.129634,45.010759,6.974564,2.601739,0.002980
0.894861,0.896172,49.582813,4686.677590,-0.105788,45.010308,6.978230,2.600544,0.005030
0.938560,0.939971,49.572147,4682.802279,-0.083781,45.011834,6.975121,2.601378,0.003429
0.982291,0.982422,49.561058,4678.925133,-0.077713,44.950277,6.972555,2.600099,-28.997723
1.028113,1.027549,49.550366,4675.045088,-0.072301,44.889163,6.970608,2.599601,-28.998629
1.071413,1.070701,49.541501,4671.167839,-0.067670,44.828922,6.966045,2.597225,-28.999759
1.115165,1.114553,49.533737,4667.290777,-0.059965,44.768542,6.961913,2.597864,-28.999794
1.159413,1.158396,49.526676,4663.414687,-0.055055,44.707934,6.956165,2.597266,-28.998830
