date,date,date,date,date,date,OT,OT,OT
23.780420,24.414110,36.652270,2106.277680,-1.064120,46.629110,9.369569,3.490411,0.000000
23.799790,24.436530,36.594300,2101.300480,-1.040680,46.643350,9.401678,3.502372,0.000000
23.819110,24.458900,36.537800,2096.299830,-1.016070,46.657590,9.431646,3.513536,0.000000
23.838380,24.481230,36.482800,2091.276660,-0.990380,46.671810,9.459384,3.523870,0.000000
23.857600,24.503510,36.429370,2086.231990,-0.963700,46.686020,9.484812,3.533342,0.000000
23.876770,24.525750,36.377550,2081.166880,-0.936120,46.700220,9.507858,3.541927,0.000000
23.895890,24.547940,36.327380,2076.082460,-0.907740,46.714410,9.528459,3.549602,0.000000
23.914950,24.570090,36.278890,2070.979920,-0.878640,46.728580,9.546563,3.556346,0.000000
23.933970,24.592190,36.232120,2065.860510,-0.848950,46.742750,9.562127,3.562144,0.000000
23.952930,24.614240,36.187070,2060.725500,-0.818750,46.756900,9.575118,3.566983,0.000000
23.971840,24.636250,36.143780,2055.576240,-0.788150,46.771040,9.585515,3.570856,0.000000
23.990690,24.658210,36.102250,2050.414080,-0.757270,46.785160,9.593305,3.573759,0.000000
24.009500,24.680120,36.062480,2045.240420,-0.726200,46.799280,9.598488,3.575690,0.000000
24.028250,24.701990,36.024480,2040.056680,-0.695050,46.813380,9.601074,3.576653,0.000000
24.046950,24.723810,35.988240,2034.864310,-0.663940,46.827460,9.601081,3.576655,0.000000
24.065600,24.745590,35.953740,2029.664760,-0.632970,46.841540,9.598540,3.575709,0.000000
24.084200,24.767310,35.920970,2024.459490,-0.602250,46.855600,9.593491,3.573828,0.000000
24.102740,24.788990,35.889890,2019.249970,-0.571880,46.869640,9.585983,3.571031,0.000000
24.121230,24.810620,35.860490,2014.037650,-0.541970,46.883680,9.576075,3.567340,0.000000
24.139670,24.832200,35.832730,2008.823990,-0.512630,46.897700,9.563835,3.562780,0.000000
24.158060,24.853740,35.806560,2003.610430,-0.483940,46.911700,9.549339,3.557380,0.000000
24.176390,24.875230,35.781940,1998.398390,-0.456020,46.925700,9.532670,3.551171,0.000000
24.194670,24.896670,35.758830,1993.189250,-0.428960,46.939670,9.513920,3.544186,0.000000
24.212900,24.918060,35.737160,1987.984390,-0.402840,46.953640,9.493187,3.536462,0.000000
