date,date1,date2,date3,date4,date5,OT,OT,OT
0.04504,0.04504,50.29762,4757.50642,-0.48507,45.0001,6.498212217589833,2.4207550293058353,0
0.09005,0.09005,50.2382,4753.98348,-0.46941,45.00024,6.543051621664003,2.4374588871191905,0
0.13502,0.13502,50.18081,4750.43189,-0.45305,45.00042,6.586226996883396,2.4535428504009063,0
0.17996,0.17996,50.12554,4746.85244,-0.43601,45.00065,6.627626100242739,2.4689651056782274,0
0.22487,0.22487,50.07247,4743.24598,-0.41833,45.00092,6.667140294985725,2.483685182901026,0
0.26974,0.26975,50.02167,4739.61345,-0.40005,45.00123,6.7046651526897385,2.4976641797342,0
0.31458,0.31459,49.97321,4735.95583,-0.3812,45.00158,6.740101047103977,2.510864982777999,0
0.35938,0.3594,49.92716,4732.27418,-0.36182,45.00198,6.773353733918143,2.5232524835471235,0
0.40415,0.40417,49.88358,4728.56961,-0.34195,45.00242,6.804334910576505,2.5347937870161807,0
0.44889,0.44891,49.84252,4724.8433,-0.32162,45.00289,6.8329627502976775,2.545458410556114,0
0.49358,0.49361,49.80403,4721.09646,-0.3009,45.00341,6.85916240459238,2.555218471135283,0
0.53825,0.53828,49.76815,4717.33039,-0.27981,45.00397,6.882866468799434,2.564048858743877,0
0.58287,0.58292,49.73493,4713.54641,-0.2584,45.00457,6.9040154054871445,2.5719273941220635,0
0.62747,0.62752,49.70439,4709.74589,-0.23673,45.00521,6.922557920941851,2.5788349690118855,0
0.67202,0.67209,49.67656,4705.93022,-0.21483,45.0059,6.938451290507749,2.584755667354904,0
0.71654,0.71662,49.65146,4702.10086,-0.19276,45.00662,6.951661629039098,2.5896768660427574,0
0.76102,0.76111,49.6291,4698.25928,-0.17057,45.00738,6.962164103411898,2.5935893140833572,0
0.80546,0.80557,49.6095,4694.40695,-0.14831,45.00819,6.9699430846956165,2.5964871892888577,0
0.84987,0.85,49.59265,4690.5454,-0.12602,45.00903,6.9749922383209215,2.598368131865511,0
0.89424,0.89439,49.57855,4686.67615,-0.10375,45.00992,6.977314551335432,2.59923325456715,0
0.93858,0.93875,49.56718,4682.80074,-0.08156,45.01084,6.976922296602426,2.5990871293582622,0
0.9829,0.98304,49.55756,4678.92255,-0.07556,44.94971,6.974807689549029,2.598299382592211,-28.99999951
1.02723,1.02725,49.54867,4675.04425,-0.06971,44.88859,6.971963481303543,2.597239840185144,-28.99999951
1.07157,1.07138,49.54049,4671.16627,-0.06402,44.82749,6.9684130924630665,2.5959172269257142,-28.99999951
1.11592,1.11543,49.533,4667.28905,-0.05852,44.76642,6.964180799913707,2.5943405865927596,-28.99999951
1.16028,1.15939,49.52618,4663.41302,-0.05321,44.70537,6.9592922785031055,2.592519483742571,-28.99999951
1.20465,1.20327,49.52,4659.53857,-0.0481,44.64436,6.953774518422537,2.5904639729315537,-28.99999951
1.24903,1.24707,49.51444,4655.66611,-0.0432,44.58339,6.947655739718094,2.588184566869392,-28.99999951
1.29342,1.29078,49.50946,4651.79601,-0.03851,44.52247,6.940965304396645,2.585692203676204,-28.99999951
1.33782,1.33441,49.50505,4647.92865,-0.03406,44.4616,6.933733626617901,2.5829982134267273,-28.99999951
1.38223,1.37796,49.50116,4644.06438,-0.02985,44.40079,6.925992081429476,2.5801142841517266,-28.99999951
1.42665,1.42143,49.49778,4640.20354,-0.02588,44.34004,6.917772912511689,2.5770524274705013,-28.99999951
1.47108,1.46481,49.49486,4636.34644,-0.02217,44.27935,6.909109139383368,2.5738249440226113,-28.99999951
1.51552,1.50812,49.49238,4632.49339,-0.01872,44.21873,6.90003446450762,2.5704443888623287,-28.99999951
1.55996,1.55134,49.49031,4628.64468,-0.01553,44.15819,6.890583180705664,2.566923536967857,-28.99999951
1.60442,1.59447,49.48861,4624.80057,-0.01262,44.09772,6.8807900792903,2.5632753490186286,-28.99999951
