train_loss,valid_loss
0.627323,0.255639
0.613298,0.251583
0.601172,0.246281
0.581351,0.237768
0.559438,0.234903
0.531384,0.215845
0.499440,0.213973
0.471936,0.220397
0.446360,0.196367
0.425858,0.177256
0.405003,0.200812
0.387554,0.165060
0.375352,0.165860
0.364129,0.209199
0.357766,0.182546
0.349507,0.202764
0.340830,0.184700
0.341164,0.202921
0.331419,0.208517
0.330938,0.186454
0.324328,0.219960
0.322342,0.200710
0.320025,0.196589
0.315147,0.188739
0.310361,0.180364
0.306777,0.177190
0.304625,0.187799
0.301613,0.180184
0.297363,0.150016
0.296531,0.162323
0.297071,0.185807
0.292117,0.208242
0.292445,0.174960
0.289187,0.195698
0.286600,0.201472
0.283677,0.181967
0.284267,0.179062
0.283498,0.202791
0.284315,0.192932
0.280699,0.201959
0.279232,0.175821
0.281248,0.198655
0.279953,0.191438
0.276570,0.187161
0.276355,0.192783
0.277879,0.195302
0.277543,0.182152
0.276337,0.191922
0.277433,0.191251
0.275528,0.190140
