train_loss,valid_loss
0.643120,0.704774
0.636706,0.691118
0.627453,0.670317
0.614029,0.657193
0.596221,0.629174
0.573524,0.565196
0.550559,0.510565
0.518462,0.473422
0.500504,0.467715
0.488684,0.465753
0.474598,0.459182
0.464852,0.478168
0.455980,0.486038
0.446295,0.469428
0.440831,0.479195
0.430959,0.491716
0.427780,0.525297
0.420944,0.509912
0.418011,0.495642
0.412056,0.475237
0.408703,0.552617
0.405869,0.546677
0.401040,0.417013
0.398624,0.500682
0.393116,0.424661
0.391467,0.456058
0.389929,0.482867
0.384293,0.405340
0.383772,0.444987
0.382198,0.423707
0.379829,0.536627
0.377455,0.378390
0.376772,0.477812
0.372685,0.411096
0.371428,0.419218
0.371459,0.463251
0.371103,0.458044
0.368956,0.451018
0.366929,0.466700
0.364551,0.462983
0.363662,0.456719
0.365687,0.474911
0.364555,0.463887
0.365628,0.461895
0.363045,0.439573
0.363114,0.487528
0.361860,0.508238
0.363410,0.489617
0.365289,0.480663
0.363274,0.456764
