train_loss,valid_loss
0.551009,0.523889
0.522272,0.508529
0.495883,0.471902
0.466333,0.476432
0.436899,0.475042
0.413821,0.400847
0.399547,0.410514
0.385088,0.352166
0.376034,0.371481
0.367343,0.461039
0.361163,0.347439
0.353255,0.325061
0.343302,0.332926
0.342730,0.345729
0.334086,0.389870
0.335474,0.305663
0.324880,0.369830
0.323741,0.319256
0.317669,0.348889
0.311258,0.303926
0.309136,0.278347
0.303250,0.314946
0.300216,0.406356
0.295460,0.269847
0.292798,0.311527
0.291004,0.300444
0.288903,0.385820
0.282013,0.389372
0.278933,0.276685
0.278353,0.306309
0.275087,0.326930
0.271768,0.340648
0.275507,0.320066
0.266878,0.269017
0.262723,0.323362
0.259355,0.316758
0.260348,0.333253
0.253258,0.329059
0.252315,0.309704
0.251322,0.300339
0.250663,0.311351
0.247030,0.316615
0.246435,0.311507
0.244362,0.327564
0.244312,0.304646
0.241921,0.326108
0.240824,0.333006
0.241997,0.329882
0.242203,0.310004
0.241110,0.322208
