mse,average
0.630497,0.866637
0.633283,
0.615732,
0.616648,
0.617298,
0.616087,
0.613967,
0.598479,
0.588915,
0.591378,
0.595590,
0.579328,
0.578931,
0.571851,
0.567939,
0.568393,
0.558171,
0.572254,
0.565044,
0.540416,
0.536624,
0.536772,
0.530376,
0.518216,
0.491941,
0.475219,
0.461927,
0.451580,
0.427488,
0.421585,
0.416506,
0.417872,
0.418028,
0.405595,
0.414913,
0.405744,
0.393338,
0.381072,
0.373093,
0.363447,
0.353853,
0.347383,
0.340047,
0.328416,
0.323910,
0.317239,
0.310869,
0.303638,
0.296798,
0.291493,
0.286311,
0.281152,
0.279209,
0.275884,
0.267790,
0.259805,
0.258177,
0.255137,
0.247841,
0.249330,
0.243513,
0.236560,
0.234095,
0.231966,
0.227221,
0.221687,
0.218242,
0.217434,
0.210961,
0.211781,
0.211733,
0.205570,
0.205493,
0.202023,
0.202238,
0.207352,
0.204894,
0.201162,
0.199889,
0.202639,
0.206876,
0.207296,
0.208326,
0.214866,
0.221060,
0.227976,
0.228799,
0.228906,
0.234958,
0.235736,
0.238645,
0.235941,
0.237290,
0.237823,
0.237494,
0.236790,
0.236277,
0.238599,
0.239029,
0.235889,
0.239936,
0.241122,
0.243208,
0.242190,
0.247216,
0.238774,
0.243416,
0.235807,
0.230974,
0.221357,
0.224379,
0.219945,
0.216493,
0.213928,
0.216645,
0.209215,
0.201235,
0.201208,
0.200087,
0.200067,
0.199908,
0.209143,
0.208688,
0.207028,
0.201027,
0.207465,
0.196757,
0.199581,
0.205224,
0.213156,
0.197975,
0.197646,
0.207429,
0.209186,
0.212349,
0.214427,
0.192344,
0.184792,
0.182086,
0.185419,
0.194861,
0.206082,
0.192158,
0.178515,
0.181059,
0.178177,
0.177172,
0.172573,
0.160678,
0.156379,
0.158785,
0.167323,
0.166528,
0.156454,
0.152673,
0.142089,
0.140418,
0.135886,
0.130381,
0.134733,
0.132684,
0.131021,
0.127937,
0.118606,
0.112605,
0.107977,
0.101096,
0.097323,
0.092586,
0.088759,
0.087603,
0.087188,
0.088599,
0.087193,
0.083290,
0.082655,
0.076481,
0.073086,
0.073147,
0.069270,
0.065005,
0.064422,
0.060790,
0.059730,
0.058902,
0.058424,
0.058234,
0.058254,
0.058486,
0.058941,
0.059672,
0.060627,
0.061810,
0.063137,
0.064630,
0.066284,
0.068095,
0.070016,
0.072005,
0.074070,
0.076223,
0.078333,
0.080411,
0.082495,
0.084545,
0.086568,
0.088520,
0.090379,
0.092075,
0.093644,
0.095061,
0.096290,
0.097364,
0.098235,
0.098901,
0.099377,
0.099668,
0.099775,
0.099658,
0.099276,
0.098643,
0.097824,
0.096858,
0.095733,
0.094490,
0.093139,
0.091704,
0.090155,
0.088516,
0.086870,
0.085165,
0.083391,
0.081601,
0.079734,
0.077914,
0.076265,
0.074714,
0.073293,
0.071946,
0.070719,
0.069698,
0.068873,
0.068264,
0.067778,
0.067483,
0.067371,
0.067404,
0.067437,
0.067516,
0.067707,
0.068003,
0.068442,
0.069031,
0.069656,
0.070320,
0.071123,
0.072019,
0.072921,
0.073884,
0.074893,
0.075944,
0.077052,
0.078183,
0.079340,
0.080594,
0.081834,
0.082978,
0.084104,
0.085232,
0.086357,
0.087469,
0.088393,
0.089216,
0.089956,
0.090539,
0.091046,
0.091540,
0.091992,
0.092268,
0.092313,
0.092144,
0.091857,
0.091449,
0.090872,
0.090183,
0.089424,
0.088612,
0.087674,
0.086676,
0.085611,
0.084375,
0.083072,
0.081656,
0.080121,
0.078665,
0.077256,
0.075852,
0.074468,
0.073182,
0.072026,
0.071018,
0.070115,
0.069286,
0.068556,
0.067943,
0.067435,
0.067081,
0.066774,
0.066456,
0.066227,
0.066169,
0.066330,
0.066648,
0.067047,
0.067504,
0.067946,
0.068488,
0.069124,
0.069776,
0.070487,
0.071157,
0.071789,
0.072390,
0.073017,
0.073664,
0.074291,
0.074886,
0.075447,
0.075961,
0.076387,
0.076729,
0.076981,
0.077184,
0.077295,
0.077294,
0.077183,
0.076954,
0.076590,
0.076114,
0.075575,
0.074994,
0.074355,
0.073669,
0.072928,
0.072131,
0.071341,
0.070571,
0.069830,
0.069116,
0.068498,
0.067927,
0.067342,
0.066765,
0.066263,
0.065910,
0.065624,
0.065414,
0.065334,
0.065296,
0.065262,
0.065335,
0.065431,
0.065611,
0.065921,
0.066352,
0.066832,
0.067306,
0.067833,
0.068472,
0.069249,
0.070075,
0.070981,
0.071949,
0.072977,
0.074090,
0.075283,
0.076514,
0.077786,
0.079045,
0.080326,
0.081669,
0.083065,
0.084455,
0.085846,
0.087275,
0.088671,
0.090123,
0.091629,
0.093151,
0.094608,
0.096006,
0.097445,
0.098893,
0.100314,
0.101690,
0.103004,
0.104293,
0.105492,
0.106666,
0.107792,
0.108800,
0.109713,
0.110464,
0.110957,
0.111316,
0.111584,
0.111645,
0.111676,
0.111670,
0.111652,
0.111595,
0.111517,
0.111409,
0.111274,
0.111109,
0.110899,
0.110670,
0.110423,
0.110249,
0.110129,
0.110010,
0.109914,
0.109876,
0.109879,
0.109885,
0.109897,
0.109968,
0.110108,
0.110296,
0.110514,
0.110779,
0.111017,
0.111319,
0.111603,
0.111900,
0.112196,
0.112445,
0.112663,
0.112886,
0.113104,
0.113322,
0.113546,
0.113763,
0.113964,
0.114126,
