mse,average
0.299410,0.944644
0.298326,
0.292963,
0.288662,
0.284677,
0.281100,
0.280922,
0.281457,
0.276493,
0.274605,
0.275468,
0.271851,
0.267636,
0.266514,
0.267943,
0.264827,
0.262314,
0.264936,
0.263555,
0.267217,
0.266130,
0.266400,
0.268654,
0.272390,
0.273151,
0.273539,
0.273773,
0.278442,
0.279585,
0.281208,
0.286506,
0.294387,
0.296889,
0.301408,
0.306109,
0.311681,
0.319861,
0.326151,
0.337616,
0.344375,
0.354754,
0.359237,
0.371297,
0.382864,
0.394460,
0.409439,
0.422144,
0.441020,
0.452273,
0.466056,
0.485798,
0.507529,
0.527789,
0.550441,
0.572463,
0.592318,
0.618144,
0.645064,
0.668896,
0.694328,
0.718408,
0.745758,
0.773649,
0.796491,
0.821715,
0.846781,
0.878667,
0.902540,
0.927161,
0.961235,
0.989269,
1.013363,
1.043084,
1.068976,
1.092044,
1.117227,
1.139751,
1.166340,
1.196070,
1.221805,
1.250054,
1.275353,
1.307202,
1.332219,
1.353419,
1.377932,
1.395880,
1.419801,
1.449570,
1.476748,
1.497756,
1.519422,
1.544783,
1.570956,
1.595862,
1.617996,
1.675883,
1.704011,
1.712658,
1.722883,
1.755344,
1.789223,
1.822175,
1.815387,
1.856357,
1.813076,
1.820833,
1.870412,
1.891285,
1.908625,
1.986891,
1.938488,
1.983145,
1.995155,
1.978292,
1.981489,
1.987776,
1.949009,
1.998592,
2.017572,
2.082617,
2.136024,
2.118606,
2.146918,
2.173342,
2.168796,
2.189952,
2.248395,
2.182963,
2.193866,
2.254605,
2.183270,
2.177974,
2.180318,
2.234057,
2.263488,
2.259896,
2.252315,
2.254625,
2.178423,
2.188447,
2.200022,
2.231573,
2.129932,
2.188413,
2.234061,
2.204782,
2.148443,
2.116437,
2.036872,
1.999111,
1.955227,
1.958092,
1.991491,
2.014973,
1.993394,
1.914669,
1.917075,
1.858595,
1.839505,
1.766833,
1.727599,
1.694188,
1.643898,
1.657387,
1.638649,
1.583948,
1.603828,
1.519822,
1.478002,
1.458967,
1.456177,
1.401561,
1.378164,
1.350969,
1.313845,
1.289155,
1.254340,
1.256171,
1.231234,
1.185452,
1.162308,
