mse,average
0.218969,0.800005
0.219438,
0.219976,
0.220638,
0.221313,
0.221963,
0.222617,
0.223182,
0.223727,
0.224260,
0.224782,
0.225217,
0.225683,
0.226161,
0.226638,
0.227122,
0.227670,
0.228220,
0.228743,
0.229200,
0.229615,
0.229982,
0.230257,
0.230403,
0.230437,
0.230319,
0.230146,
0.229962,
0.229684,
0.229361,
0.228962,
0.228550,
0.228134,
0.227710,
0.227286,
0.226885,
0.226471,
0.226004,
0.225507,
0.225095,
0.224713,
0.224276,
0.223821,
0.223417,
0.223163,
0.222958,
0.222863,
0.222890,
0.223003,
0.223225,
0.223590,
0.224103,
0.224790,
0.225680,
0.226763,
0.227926,
0.229202,
0.230645,
0.232260,
0.234019,
0.235958,
0.238067,
0.240390,
0.242851,
0.245481,
0.248335,
0.251412,
0.254720,
0.258251,
0.261988,
0.265836,
0.269850,
0.273941,
0.278123,
0.282399,
0.286749,
0.291247,
0.295793,
0.300354,
0.304931,
0.309452,
0.313881,
0.318327,
0.322792,
0.327246,
0.331687,
0.336185,
0.340679,
0.345135,
0.349569,
0.353910,
0.358123,
0.362273,
0.366341,
0.370310,
0.374103,
0.377850,
0.381502,
0.385077,
0.388538,
0.391853,
0.394827,
0.397683,
0.400459,
0.403202,
0.405917,
0.408523,
0.411026,
0.413318,
0.415446,
0.417496,
0.419491,
0.421454,
0.423401,
0.425438,
0.427469,
0.429468,
0.431416,
0.433309,
0.435163,
0.436881,
0.438557,
0.440189,
0.441748,
0.443271,
0.444683,
0.446021,
0.447339,
0.448576,
0.449776,
0.450956,
0.452065,
0.453066,
0.453995,
0.454843,
0.455571,
0.456265,
0.456891,
0.457452,
0.457934,
0.458318,
0.458635,
0.458909,
0.459127,
0.459292,
0.459413,
0.459454,
0.459461,
0.459428,
0.459340,
0.459223,
0.459061,
0.458853,
0.458645,
0.458397,
0.458175,
0.457971,
0.457777,
0.457623,
0.457490,
0.457396,
0.457336,
0.457331,
0.457472,
0.457672,
0.457959,
0.458364,
0.458858,
0.459472,
0.460201,
0.461101,
0.462157,
0.463393,
0.464771,
0.466259,
0.467910,
0.469701,
0.471680,
0.473802,
0.476048,
0.478468,
0.481052,
0.483763,
0.486616,
0.489612,
0.492795,
0.496045,
0.499356,
0.502782,
0.506360,
0.510044,
0.513740,
0.517382,
0.521122,
0.524913,
0.528876,
0.532983,
0.537178,
0.541436,
0.545804,
0.550249,
0.554699,
0.559081,
0.563403,
0.567741,
0.572060,
0.576348,
0.580587,
0.584803,
0.588989,
0.593132,
0.597216,
0.601250,
0.605227,
0.609142,
0.612979,
0.616716,
0.620344,
0.623863,
0.627281,
0.630575,
0.633844,
0.637028,
0.640114,
0.643099,
0.645971,
0.648726,
0.651351,
0.653868,
0.656269,
0.658562,
0.660769,
0.662860,
0.664845,
0.666719,
0.668545,
0.670294,
0.671918,
0.673389,
0.674732,
0.675922,
0.676978,
0.677941,
0.678806,
0.679579,
0.680275,
0.680901,
0.681438,
0.681892,
0.682288,
0.682630,
0.682891,
0.683056,
0.683145,
0.683162,
0.683128,
0.683025,
0.682864,
0.682642,
0.682311,
0.681918,
0.681491,
0.681039,
0.680573,
0.680095,
0.679547,
0.678997,
0.678443,
0.677882,
0.677329,
0.676792,
0.676261,
0.675758,
0.675286,
0.674856,
0.674441,
0.674079,
0.673778,
0.673604,
0.673509,
0.673495,
0.673549,
0.673642,
0.713831,
0.753236,
0.792099,
0.823212,
0.868415,
0.916745,
0.948867,
0.994260,
1.020236,
1.049408,
1.109941,
1.154490,
1.172846,
1.216141,
1.256848,
1.275447,
1.278649,
1.305565,
1.346069,
1.349887,
1.377481,
1.422404,
1.456742,
1.497154,
1.518651,
1.528760,
1.557945,
1.584349,
1.603883,
1.614872,
1.621115,
1.636515,
1.655676,
1.659999,
1.676900,
1.709211,
1.714999,
1.713572,
1.716590,
1.713176,
1.725199,
1.704106,
1.721578,
1.705873,
1.695863,
1.662090,
1.669070,
1.669906,
1.673394,
1.678509,
1.672379,
1.694512,
1.681649,
1.654550,
1.644533,
1.646410,
1.633058,
1.627915,
1.637416,
1.628377,
1.614504,
1.620657,
1.625142,
1.620206,
1.615112,
1.621053,
1.619328,
1.615689,
1.613579,
1.622417,
1.640642,
1.628846,
1.612821,
1.629270,
1.625936,
1.598918,
1.606672,
1.589253,
1.562445,
1.554524,
1.546968,
1.537840,
1.525145,
1.516201,
1.517772,
1.486037,
1.492804,
1.485531,
1.457849,
1.447216,
1.419611,
1.415855,
1.439968,
1.431846,
1.419126,
1.409337,
1.421316,
1.441565,
1.452804,
1.463709,
1.414449,
1.435744,
1.524546,
1.542829,
1.273633,
1.416301,
1.182346,
1.122340,
1.136843,
1.094141,
1.208386,
1.013304,
0.978000,
1.085525,
0.914945,
0.924870,
0.936924,
0.930257,
0.916699,
0.872709,
0.908110,
0.929520,
0.925429,
0.975623,
0.995851,
1.036197,
1.272750,
1.097346,
1.151798,
1.190015,
1.263147,
1.262014,
1.281459,
1.319920,
1.258620,
1.225102,
1.256069,
1.332155,
1.378504,
1.555637,
1.466012,
1.522190,
1.513496,
1.488665,
1.561564,
1.589972,
1.643194,
1.742341,
1.729539,
1.828429,
1.882867,
1.924042,
1.979808,
2.006626,
2.099415,
2.187487,
2.249712,
2.399920,
2.455745,
2.675999,
2.416448,
2.501247,
2.365997,
2.564526,
2.397342,
2.504680,
2.537712,
2.431063,
2.651411,
2.772802,
2.769096,
2.915959,
2.637580,
2.577628,
2.623683,
2.737536,
2.637366,
2.587676,
2.584363,
2.575189,
2.590022,
2.522678,
2.699078,
2.765397,
2.565665,
2.649146,
2.676205,
2.718146,
2.672028,
2.536381,
2.477353,
2.414909,
2.454143,
2.375672,
2.396021,
2.469399,
2.471884,
2.425375,
2.342807,
2.306031,
2.288394,
2.265393,
2.243125,
2.232158,
2.208531,
2.186409,
2.163299,
2.141798,
2.118468,
2.096264,
2.068380,
2.042277,
2.013018,
1.987264,
1.960872,
1.932029,
1.903808,
1.882422,
1.854585,
1.827558,
1.803390,
1.775695,
1.751297,
1.723030,
1.691774,
1.662921,
1.633314,
1.604410,
1.577119,
1.549018,
1.519496,
1.490533,
1.462986,
1.436494,
1.409863,
1.382952,
1.353773,
1.328054,
1.300478,
1.273359,
1.246040,
1.221892,
1.194559,
1.168584,
1.143916,
1.118615,
1.092444,
1.071409,
1.045515,
1.022875,
1.000028,
0.979366,
0.957548,
0.936254,
0.917246,
0.900777,
0.881259,
0.865951,
0.852941,
0.835766,
0.822961,
0.810531,
0.800813,
0.795284,
0.789957,
0.783177,
0.777218,
0.774699,
0.774325,
0.774084,
0.772380,
0.776074,
0.780424,
0.785768,
0.792638,
0.798634,
0.807179,
0.815932,
0.824653,
0.834966,
0.847222,
0.858975,
0.870896,
0.882940,
0.901354,
0.911891,
0.923645,
0.940119,
0.954519,
0.973401,
0.993700,
1.013663,
1.032475,
1.053746,
1.075100,
1.095271,
1.118022,
1.135744,
1.147438,
1.165856,
1.182712,
1.200472,
1.217186,
1.230882,
1.243476,
1.252452,
1.264789,
1.279444,
1.287143,
1.301575,
1.316505,
1.324651,
1.335144,
1.341258,
1.346581,
1.352254,
1.359615,
1.365829,
1.369542,
1.373707,
1.375249,
1.381417,
1.382251,
1.379559,
1.378145,
1.375211,
1.370486,
1.366594,
1.363028,
1.362014,
1.359155,
1.352060,
1.349038,
1.333434,
1.329014,
1.317281,
1.305806,
1.294181,
1.284548,
1.282490,
1.280077,
1.271640,
1.265949,
1.251490,
1.249090,
1.242778,
1.242654,
1.237840,
1.229335,
1.220649,
1.216927,
1.210821,
1.202337,
1.200696,
1.198154,
1.191793,
1.189304,
1.186711,
1.177286,
1.169758,
1.161646,
1.153807,
1.145695,
1.134480,
1.125546,
1.115393,
1.106965,
1.092612,
1.082570,
1.067287,
1.060834,
1.045293,
1.031305,
1.017293,
1.003963,
0.988776,
0.972157,
0.955876,
0.938019,
0.920483,
0.905971,
0.890853,
0.875341,
0.860599,
0.842912,
0.828256,
0.811125,
0.795137,
0.781769,
0.760133,
0.746691,
0.726283,
0.715086,
0.688029,
0.681073,
0.653960,
0.640167,
0.635391,
0.613844,
0.600722,
0.582270,
0.568159,
0.566071,
0.553139,
0.534676,
